date,state,city,place_type,confirmed,deaths
17/04/2020,CE,,state,2747,155
11/04/2020,RO,Ariquemes,city,2,0
11/04/2020,RO,Jaru,city,1,0
11/04/2020,RO,Ji-Paraná,city,1,0
11/04/2020,RO,Ouro Preto do Oeste,city,1,0
11/04/2020,RO,Porto Velho,city,25,2
11/04/2020,RO,Rolim de Moura,city,3,0
11/04/2020,RO,Vilhena,city,1,0
18/04/2020,CE,,state,3062,180
11/04/2020,RR,Alto Alegre,city,1,1
11/04/2020,RR,Boa Vista,city,70,2
11/04/2020,RR,Bonfim,city,3,0
11/04/2020,RR,Cantá,city,3,0
11/04/2020,RR,Pacaraima,city,2,0
07/03/2020,DF,,state,1,0
11/04/2020,RS,Alegrete,city,1,0
11/04/2020,RS,Alvorada,city,5,1
11/04/2020,RS,Anta Gorda,city,2,0
11/04/2020,RS,Arroio do Sal,city,1,0
11/04/2020,RS,Arroio dos Ratos,city,3,0
11/04/2020,RS,Bagé,city,27,0
11/04/2020,RS,Bento Gonçalves,city,11,0
11/04/2020,RS,Bom Retiro do Sul,city,1,0
11/04/2020,RS,Cachoeira do Sul,city,2,0
11/04/2020,RS,Cachoeirinha,city,6,0
11/04/2020,RS,Camaquã,city,0,0
11/04/2020,RS,Campo Bom,city,4,0
11/04/2020,RS,Canguçu,city,1,0
11/04/2020,RS,Canoas,city,13,1
11/04/2020,RS,Capão da Canoa,city,4,0
11/04/2020,RS,Capão do Leão,city,1,0
11/04/2020,RS,Carlos Barbosa,city,1,0
11/04/2020,RS,Caxias do Sul,city,34,0
11/04/2020,RS,Cerro Grande do Sul,city,1,0
11/04/2020,RS,Charqueadas,city,1,0
11/04/2020,RS,Cidreira,city,1,0
11/04/2020,RS,Cruzeiro do Sul,city,1,0
11/04/2020,RS,Dois Irmãos,city,2,0
11/04/2020,RS,Dom Pedrito,city,1,0
11/04/2020,RS,Eldorado do Sul,city,1,0
11/04/2020,RS,Encantado,city,2,0
11/04/2020,RS,Encruzilhada do Sul,city,1,1
11/04/2020,RS,Erechim,city,3,0
11/04/2020,RS,Estância Velha,city,3,0
11/04/2020,RS,Esteio,city,2,0
11/04/2020,RS,Estrela,city,1,0
11/04/2020,RS,Farroupilha,city,5,0
11/04/2020,RS,Garibaldi,city,2,0
11/04/2020,RS,Glorinha,city,1,0
11/04/2020,RS,Gravataí,city,13,0
11/04/2020,RS,Guaíba,city,1,0
11/04/2020,RS,Harmonia,city,3,0
11/04/2020,RS,Ivoti,city,4,1
11/04/2020,RS,Lajeado,city,16,0
11/04/2020,RS,Marau,city,9,1
11/04/2020,RS,Minas do Leão,city,2,0
11/04/2020,RS,Montenegro,city,1,0
11/04/2020,RS,Nova Palma,city,1,0
11/04/2020,RS,Novo Hamburgo,city,24,2
11/04/2020,RS,Osório,city,2,0
11/04/2020,RS,Paraí,city,2,0
11/04/2020,RS,Pareci Novo,city,1,0
11/04/2020,RS,Passo Fundo,city,18,2
11/04/2020,RS,Pelotas,city,5,0
11/04/2020,RS,Piratini,city,1,0
11/04/2020,RS,Porto Alegre,city,311,6
11/04/2020,RS,Rio Grande,city,2,0
11/04/2020,RS,Rolante,city,1,0
11/04/2020,RS,Sananduva,city,2,0
11/04/2020,RS,Santa Cruz do Sul,city,1,0
11/04/2020,RS,Santa Maria,city,8,0
11/04/2020,RS,Sant'Ana do Livramento,city,7,0
11/04/2020,RS,Santa Rosa,city,4,0
11/04/2020,RS,Santiago,city,1,0
11/04/2020,RS,Santo Antônio da Patrulha,city,2,0
11/04/2020,RS,São Domingos do Sul,city,2,0
11/04/2020,RS,São Gabriel,city,1,0
11/04/2020,RS,São Jorge,city,1,0
11/04/2020,RS,São Leopoldo,city,16,1
11/04/2020,RS,São Lourenço do Sul,city,1,0
11/04/2020,RS,São Sebastião do Caí,city,2,0
11/04/2020,RS,Sapiranga,city,1,0
11/04/2020,RS,Sapucaia do Sul,city,3,0
11/04/2020,RS,Sarandi,city,1,0
11/04/2020,RS,Serafina Corrêa,city,5,0
11/04/2020,RS,Tabaí,city,4,0
11/04/2020,RS,Taquara,city,1,0
11/04/2020,RS,Taquari,city,4,0
11/04/2020,RS,Torres,city,9,0
11/04/2020,RS,Tramandaí,city,1,0
11/04/2020,RS,Tupandi,city,1,0
11/04/2020,RS,Uruguaiana,city,3,0
11/04/2020,RS,Vacaria,city,1,0
11/04/2020,RS,Viamão,city,8,0
11/04/2020,RS,Vila Maria,city,1,0
08/03/2020,DF,,state,1,0
11/04/2020,SC,Águas Mornas,city,1,0
11/04/2020,SC,Anita Garibaldi,city,1,0
11/04/2020,SC,Antônio Carlos,city,11,3
11/04/2020,SC,Araranguá,city,4,0
11/04/2020,SC,Aurora,city,1,0
11/04/2020,SC,Balneário Arroio do Silva,city,2,0
11/04/2020,SC,Balneário Camboriú,city,52,0
11/04/2020,SC,Balneário Gaivota,city,2,1
11/04/2020,SC,Balneário Piçarras,city,1,0
11/04/2020,SC,Barra Velha,city,1,0
11/04/2020,SC,Biguaçu,city,2,0
11/04/2020,SC,Blumenau,city,61,0
11/04/2020,SC,Botuverá,city,3,0
11/04/2020,SC,Braço do Norte,city,25,0
11/04/2020,SC,Brusque,city,16,0
11/04/2020,SC,Caçador,city,2,0
11/04/2020,SC,Camboriú,city,25,0
11/04/2020,SC,Canelinha,city,1,0
11/04/2020,SC,Chapecó,city,6,0
11/04/2020,SC,Cocal do Sul,city,1,0
11/04/2020,SC,Criciúma,city,38,3
